date,independent_bank,independent_bubble,independent_contraction,independent_credit,independent_crisis,independent_depression,independent_derivative,independent_employment,independent_growth,independent_housing,independent_inflation,independent_interest,independent_job,independent_lehman,independent_mortgage,independent_recession,independent_recovery,independent_reform,independent_swap,independent_asset,independent_bankrup,independent_captital,independent_collapse,independent_collateral,independent_debt,independent_downgrade,independent_gdp,independent_house,independent_layoff,independent_loan,independent_property,independent_quantitative,independent_rate,independent_rating,dailymail_bank,dailymail_bubble,dailymail_contraction,dailymail_credit,dailymail_crisis,dailymail_depression,dailymail_derivative,dailymail_employment,dailymail_growth,dailymail_housing,dailymail_inflation,dailymail_interest,dailymail_job,dailymail_lehman,dailymail_mortgage,dailymail_recession,dailymail_recovery,dailymail_reform,dailymail_swap,dailymail_asset,dailymail_bankrup,dailymail_captital,dailymail_collapse,dailymail_collateral,dailymail_debt,dailymail_downgrade,dailymail_gdp,dailymail_house,dailymail_layoff,dailymail_loan,dailymail_property,dailymail_quantitative,dailymail_rate,dailymail_rating,financialtimes_bank,financialtimes_bubble,financialtimes_contraction,financialtimes_credit,financialtimes_crisis,financialtimes_depression,financialtimes_derivative,financialtimes_employment,financialtimes_growth,financialtimes_housing,financialtimes_inflation,financialtimes_interest,financialtimes_job,financialtimes_lehman,financialtimes_mortgage,financialtimes_recession,financialtimes_recovery,financialtimes_reform,financialtimes_swap,financialtimes_asset,financialtimes_bankrup,financialtimes_captital,financialtimes_collapse,financialtimes_collateral,financialtimes_debt,financialtimes_downgrade,financialtimes_gdp,financialtimes_house,financialtimes_layoff,financialtimes_loan,financialtimes_property,financialtimes_quantitative,financialtimes_rate,financialtimes_rating,guardian_bank,guardian_bubble,guardian_contraction,guardian_credit,guardian_crisis,guardian_depression,guardian_derivative,guardian_employment,guardian_growth,guardian_housing,guardian_inflation,guardian_interest,guardian_job,guardian_lehman,guardian_mortgage,guardian_recession,guardian_recovery,guardian_reform,guardian_swap,guardian_asset,guardian_bankrup,guardian_captital,guardian_collapse,guardian_collateral,guardian_debt,guardian_downgrade,guardian_gdp,guardian_house,guardian_layoff,guardian_loan,guardian_property,guardian_quantitative,guardian_rate,guardian_rating
"2005-01-31",8,0,0,2,0,0,0,3,8,1,5,10,1,0,1,0,0,0,0,1,0,1,1,0,7,0,3,2,0,0,1,0,18,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,40,1,0,6,2,0,3,14,40,7,20,22,5,0,6,1,6,6,0,20,0,4,1,0,1,2,2,6,0,3,8,2,90,8,10,0,1,3,0,0,0,2,6,6,3,14,0,0,0,0,0,3,0,2,0,3,0,0,19,0,1,9,0,0,2,0,20,1
"2005-02-01",1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,2,0,19,3,0,2,4,28,0,7,28,10,5,0,0,3,7,2,13,0,6,2,0,36,6,3,2,0,1,3,0,75,40,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0
"2005-02-02",1,0,1,2,0,0,0,0,3,1,2,5,4,0,5,1,2,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,16,0,7,0,1,2,0,0,0,1,4,4,1,5,0,0,22,1,0,0,0,0,0,2,0,0,0,0,0,12,0,1,10,0,30,0,58,1,2,16,2,0,2,17,41,0,10,23,10,2,11,0,8,19,7,5,0,27,4,0,25,3,0,2,0,5,2,0,104,8,2,0,1,2,0,0,0,3,12,4,1,1,5,0,3,3,3,3,0,1,0,4,0,0,21,0,5,3,0,1,0,0,19,1
"2005-02-03",6,0,1,2,0,0,0,13,11,0,4,11,14,0,0,0,0,7,0,0,0,0,0,0,1,0,4,5,0,0,1,0,33,0,4,0,0,1,0,1,0,12,1,0,1,2,9,0,1,0,0,3,0,0,0,1,0,0,1,0,0,2,0,0,1,0,11,1,51,0,0,12,4,0,1,29,67,7,11,33,27,5,1,0,7,29,1,4,1,15,5,0,32,0,2,21,0,2,0,0,132,28,14,0,0,0,0,1,0,10,5,2,4,3,6,0,0,0,0,4,0,0,0,1,0,0,20,0,0,0,0,0,0,0,13,0
"2005-02-04",3,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,3,4,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,7,0,47,1,1,13,2,1,0,7,49,10,27,40,11,0,7,1,1,7,3,7,0,18,1,0,28,2,0,28,0,6,8,0,119,13,9,0,0,0,1,0,0,0,2,2,1,3,0,0,2,0,0,1,0,0,1,3,0,0,3,0,0,2,0,1,0,0,13,1
"2005-02-07",2,1,0,0,0,0,0,0,3,1,2,3,2,0,0,0,1,0,0,0,0,10,0,0,1,0,2,3,0,0,0,0,6,0,1,0,0,0,2,0,0,2,4,0,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,7,0,34,2,1,8,8,0,2,7,31,1,12,20,1,0,1,2,1,10,0,16,0,6,0,0,58,0,4,7,0,1,2,0,59,10,8,0,0,2,2,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,3,0
"2005-02-08",1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,6,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,39,0,0,8,3,0,1,17,22,6,6,11,29,8,2,0,1,13,1,4,1,5,1,0,25,1,1,19,0,4,4,0,64,6,5,0,1,0,0,0,0,0,3,1,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"2005-02-09",4,0,0,0,0,0,0,7,9,0,0,5,7,0,0,1,0,5,0,1,0,2,0,0,0,0,1,1,0,0,0,0,18,1,12,0,0,5,0,0,0,0,6,0,1,28,1,0,6,0,0,0,0,2,0,8,2,0,0,0,0,7,0,2,0,0,52,1,35,0,1,8,3,0,0,0,46,5,10,16,11,2,0,0,1,5,1,6,0,6,0,0,20,3,18,6,0,6,2,1,60,14,4,0,0,0,0,0,0,5,5,0,0,2,6,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,10,0
"2005-02-10",4,0,0,0,1,0,0,0,10,4,15,28,0,0,3,4,1,0,1,1,0,1,0,0,2,0,5,3,0,1,3,0,43,2,7,0,0,5,1,0,0,1,1,0,0,5,1,0,0,1,0,0,0,0,4,0,0,0,12,0,0,0,0,3,0,0,5,0,86,0,1,10,4,0,1,4,32,2,9,33,10,0,5,3,2,8,1,11,0,18,5,0,18,1,4,15,0,6,1,0,87,16,10,0,1,0,1,1,0,3,7,4,4,12,2,0,3,5,1,5,0,1,0,3,0,0,1,0,2,4,0,2,2,0,33,0
"2005-02-11",3,0,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,7,0,3,0,0,0,0,0,0,0,4,1,3,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1,42,0,0,10,3,0,1,7,40,0,14,24,6,0,3,2,1,6,3,7,0,15,2,0,26,0,2,7,0,9,1,1,107,18,6,0,0,0,0,0,0,0,5,2,2,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0
"2005-02-14",3,0,0,1,0,0,0,1,13,0,22,11,0,0,1,0,1,0,0,1,0,6,0,0,0,0,7,3,0,0,0,0,18,0,12,0,0,14,3,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,9,0,0,0,9,0,0,0,0,4,1,0,3,1,36,0,0,14,6,0,1,5,27,5,25,30,3,2,11,0,3,10,0,8,0,23,0,0,10,0,4,7,0,2,14,0,61,11,10,0,0,4,2,0,0,6,9,3,25,10,15,0,5,2,3,0,0,0,1,2,0,0,21,1,7,3,0,5,0,0,24,2
"2005-02-15",3,0,0,0,0,0,0,0,3,2,3,4,0,0,10,0,0,0,0,0,0,1,0,0,3,0,0,2,0,1,4,0,8,1,5,1,0,2,1,0,0,2,1,5,4,7,1,0,6,0,0,0,0,0,0,5,0,0,4,0,1,16,0,0,1,0,7,1,81,3,0,51,5,0,4,11,49,9,33,24,12,1,12,1,6,20,5,25,2,17,2,2,32,11,4,16,0,10,14,1,107,26,3,0,0,1,0,0,0,1,6,0,5,1,3,0,0,0,2,2,0,0,0,3,0,0,0,0,0,6,0,0,2,0,9,2
"2005-02-16",15,2,0,2,0,0,0,0,12,0,18,5,0,0,0,3,2,0,0,5,0,6,0,0,2,0,2,1,0,0,1,0,22,1,12,0,0,0,0,0,0,2,3,1,19,13,2,0,52,0,1,0,0,0,0,3,0,0,2,0,2,8,0,8,4,0,58,0,149,3,0,38,1,0,20,8,52,2,25,46,8,1,7,2,18,18,5,22,2,36,4,3,44,5,8,17,0,14,30,0,135,23,4,0,1,0,0,0,0,0,5,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"2005-02-17",21,0,4,2,0,0,0,8,38,5,21,6,16,0,1,2,1,2,0,1,0,4,0,0,6,0,6,12,0,1,4,0,36,1,17,0,0,0,0,0,0,5,3,4,12,7,4,0,2,0,0,0,1,0,0,1,1,0,2,0,0,7,0,0,0,0,19,0,93,3,2,7,10,0,0,19,80,13,68,43,23,0,6,16,9,10,5,7,2,11,0,0,29,1,13,20,0,7,6,0,118,16,19,0,0,5,3,0,0,11,20,1,8,7,3,0,2,3,2,0,0,0,0,1,1,0,10,0,3,9,0,4,2,0,13,2
"2005-02-18",5,0,1,0,0,0,0,0,14,2,3,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,10,1,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,44,4,1,17,1,0,0,11,65,9,11,37,22,1,9,4,18,7,2,10,2,15,1,0,41,3,7,14,0,5,6,0,112,29,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"2005-02-21",12,3,0,2,0,0,0,0,1,0,12,10,2,0,0,0,1,0,0,5,0,6,0,0,1,0,3,1,0,1,1,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20,3,1,4,1,0,0,3,14,1,14,7,6,0,1,2,4,4,0,14,1,9,5,0,10,0,2,2,0,1,6,0,14,5,2,0,0,2,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0
"2005-02-22",1,0,0,0,0,0,0,0,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,3,0,1,1,25,4,17,36,8,4,23,2,5,9,1,13,9,7,0,0,9,4,0,16,0,2,6,1,82,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
